antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,algorithm,context,context_n,support_count,rule_str,normalized_rule
"frozenset({'burden_20_to_35pct', 'previous_approval_high'})",frozenset({'previous_two_to_four'}),0.1611682643050624,0.3841686432471123,0.07443263954190117,0.46183186164376405,1.2021591812913677,1.0,0.012516846109333353,1.1443103239702443,0.20047334626869992,0.158063208593126,0.12611117888856602,0.3277908851554443,fpgrowth,Portfolio-wide,356255,26517,"{burden_20_to_35pct, previous_approval_high} -> {previous_two_to_four}","{burden_20_to_35pct, previous_approval_high} -> {previous_two_to_four}"
"frozenset({'burden_20_to_35pct', 'previous_two_to_four'})",frozenset({'credit_large'}),0.11834219870598307,0.3220389889264712,0.0560160559150047,0.47333965844402276,1.4698209680197976,1.0,0.017905253896394364,1.2872832024346954,0.36254999381931935,0.1457365699763386,0.22317016324872718,0.323640751751821,fpgrowth,Portfolio-wide,356255,19956,"{burden_20_to_35pct, previous_two_to_four} -> {credit_large}","{burden_20_to_35pct, previous_two_to_four} -> {credit_large}"
"frozenset({'credit_large', 'previous_two_to_four'})",frozenset({'burden_20_to_35pct'}),0.12492175548413356,0.2896268122552666,0.0560160559150047,0.44840913176343694,1.548230732754899,1.0,0.01983536609280323,1.2878624876727884,0.4046511757753402,0.15623703309350262,0.22351958413896023,0.32090841639683265,fpgrowth,Portfolio-wide,356255,19956,"{credit_large, previous_two_to_four} -> {burden_20_to_35pct}","{credit_large, previous_two_to_four} -> {burden_20_to_35pct}"
"frozenset({'burden_20_to_35pct', 'previous_two_to_four'})",frozenset({'income_q1'}),0.11834219870598307,0.320088139113837,0.054146608468653074,0.45754269449715373,1.4294272064058957,1.0,0.01626667430621502,1.2533923941827998,0.340743403676964,0.14090268292148458,0.20216525595562546,0.31335212649668925,fpgrowth,Portfolio-wide,356255,19290,"{burden_20_to_35pct, previous_two_to_four} -> {income_q1}","{burden_20_to_35pct, previous_two_to_four} -> {income_q1}"
"frozenset({'previous_two_to_four', 'income_q1'})",frozenset({'burden_20_to_35pct'}),0.1321048125640342,0.2896268122552666,0.054146608468653074,0.4098761234940399,1.4151870826544537,1.0,0.015885512722152356,1.2037696084265435,0.3380358001224375,0.14730363333689692,0.16927625269829844,0.29841457389557446,fpgrowth,Portfolio-wide,356255,19290,"{income_q1, previous_two_to_four} -> {burden_20_to_35pct}","{income_q1, previous_two_to_four} -> {burden_20_to_35pct}"
"frozenset({'burden_20_to_35pct', 'previous_two_to_four'})",frozenset({'leverage_3_to_6x'}),0.11834219870598307,0.3596637240179085,0.05569886738431741,0.4706593927893738,1.3086095743309896,1.0,0.013135471489256222,1.2096866691493022,0.26748488585298275,0.13189187033479782,0.17333965438898474,0.3127615635317018,fpgrowth,Portfolio-wide,356255,19843,"{burden_20_to_35pct, previous_two_to_four} -> {leverage_3_to_6x}","{burden_20_to_35pct, previous_two_to_four} -> {leverage_3_to_6x}"
"frozenset({'previous_two_to_four', 'leverage_3_to_6x'})",frozenset({'burden_20_to_35pct'}),0.14035732831819905,0.2896268122552666,0.05569886738431741,0.39683618982861024,1.3701638558202724,1.0,0.015047621806851562,1.1777450433289094,0.31427044336625104,0.14881394319826607,0.1509197974007268,0.2945743639948529,fpgrowth,Portfolio-wide,356255,19843,"{leverage_3_to_6x, previous_two_to_four} -> {burden_20_to_35pct}","{leverage_3_to_6x, previous_two_to_four} -> {burden_20_to_35pct}"
"frozenset({'burden_20_to_35pct', 'external_score_weak'})",frozenset({'leverage_3_to_6x'}),0.09365763287532806,0.3596637240179085,0.04893685702656805,0.5225079422166277,1.4527679811006204,1.0,0.015251604003925459,1.3410406844350025,0.3438643601590761,0.12101565970679697,0.2543104682753808,0.32928537622179055,fpgrowth,Portfolio-wide,356255,17434,"{burden_20_to_35pct, external_score_weak} -> {leverage_3_to_6x}","{burden_20_to_35pct, external_score_weak} -> {leverage_3_to_6x}"
"frozenset({'external_score_weak', 'leverage_3_to_6x'})",frozenset({'burden_20_to_35pct'}),0.11668608159885475,0.2896268122552666,0.04893685702656805,0.41938898243925904,1.4480323115583122,1.0,0.01514143917853382,1.2234924351403949,0.3502805390559841,0.1369337951726792,0.1826676068616224,0.2941770994517653,fpgrowth,Portfolio-wide,356255,17434,"{external_score_weak, leverage_3_to_6x} -> {burden_20_to_35pct}","{external_score_weak, leverage_3_to_6x} -> {burden_20_to_35pct}"
"frozenset({'burden_20_to_35pct', 'external_score_weak'})",frozenset({'income_q1'}),0.09365763287532806,0.320088139113837,0.04632356037108251,0.49460528681891747,1.5452159151795835,1.0,0.01634486295021183,1.34530861355202,0.3893023904586672,0.1260771910524386,0.25667613369418735,0.3196632758579605,fpgrowth,Portfolio-wide,356255,16503,"{burden_20_to_35pct, external_score_weak} -> {income_q1}","{burden_20_to_35pct, external_score_weak} -> {income_q1}"
"frozenset({'external_score_weak', 'income_q1'})",frozenset({'burden_20_to_35pct'}),0.11710432134285835,0.2896268122552666,0.04632356037108251,0.3955751576020518,1.3658098658814992,1.0,0.012407009079234067,1.1752878735534,0.30335822709700816,0.1285310404448702,0.14914462873119705,0.2777586975147426,fpgrowth,Portfolio-wide,356255,16503,"{external_score_weak, income_q1} -> {burden_20_to_35pct}","{external_score_weak, income_q1} -> {burden_20_to_35pct}"
"frozenset({'burden_20_to_35pct', 'external_score_weak'})",frozenset({'credit_medium'}),0.09365763287532806,0.3439278045220418,0.04049908071465664,0.4324162320925493,1.257287798215327,1.0,0.008287616663113652,1.1559037318786332,0.22578350362928004,0.10199061245263813,0.1348760520266255,0.275085415558215,fpgrowth,Portfolio-wide,356255,14428,"{burden_20_to_35pct, external_score_weak} -> {credit_medium}","{burden_20_to_35pct, external_score_weak} -> {credit_medium}"
