antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,algorithm,context,context_n,support_count,rule_str,normalized_rule
"frozenset({'previous_approval_high', 'credit_file_thin'})",frozenset({'previous_one'}),0.12729365201891904,0.16970428485214242,0.04636566504329764,0.3642417693885201,2.146332190173463,1.0,0.024763386861209505,1.3059928683098119,0.6119915334217902,0.18499479219164736,0.23429903465385796,0.3187281161607326,apriori,Portfolio-wide,356255,16518,"{credit_file_thin, previous_approval_high} -> {previous_one}","{credit_file_thin, previous_approval_high} -> {previous_one}"
"frozenset({'credit_file_thin', 'previous_one'})",frozenset({'previous_approval_high'}),0.04679793967803961,0.5241863272094427,0.04636566504329764,0.9907629558541267,1.890096907198153,1.0,0.021834824922497005,51.511464628338665,0.49404697915227636,0.08837975794283513,0.9805868459144946,0.5396077984514175,apriori,Portfolio-wide,356255,16518,"{credit_file_thin, previous_one} -> {previous_approval_high}","{credit_file_thin, previous_one} -> {previous_approval_high}"
"frozenset({'credit_file_thin', 'previous_deep'})",frozenset({'previous_outcome_mixed'}),0.07608314269273414,0.3234901966288192,0.03754613970330241,0.4934882862940417,1.525512338354669,1.0,0.012933988913491332,1.3356251890433284,0.3728501322730653,0.10371082543768512,0.2512869566975803,0.30477702960630326,apriori,Portfolio-wide,356255,13376,"{credit_file_thin, previous_deep} -> {previous_outcome_mixed}","{credit_file_thin, previous_deep} -> {previous_outcome_mixed}"
"frozenset({'credit_file_thin', 'previous_outcome_mixed'})",frozenset({'previous_deep'}),0.07279897825995425,0.3972912660874935,0.03754613970330241,0.5157509157509157,1.2981682704228752,1.0,0.008623741460529268,1.2446254490023771,0.24771741228202948,0.08680303187623299,0.1965454339684725,0.3051281197235965,apriori,Portfolio-wide,356255,13376,"{credit_file_thin, previous_outcome_mixed} -> {previous_deep}","{credit_file_thin, previous_outcome_mixed} -> {previous_deep}"
"frozenset({'credit_file_thin', 'previous_deep'})",frozenset({'repayment_some_late'}),0.07608314269273414,0.44470674095802165,0.04406394296220404,0.5791551374285188,1.3023304665471407,1.0,0.010229256533474118,1.3194725858098382,0.25126258451065,0.09243034456770059,0.24212142733815045,0.33912026607395995,apriori,Portfolio-wide,356255,15698,"{credit_file_thin, previous_deep} -> {repayment_some_late}","{credit_file_thin, previous_deep} -> {repayment_some_late}"
"frozenset({'credit_file_thin', 'previous_one'})",frozenset({'repayment_clean_observed'}),0.04679793967803961,0.44839230326591906,0.033417074848072305,0.7140714971209212,1.5925150630818057,1.0,0.012433238887736581,1.9291805160374649,0.3903290497516246,0.07236686138752288,0.4816451899203299,0.3942989604896965,apriori,Portfolio-wide,356255,11905,"{credit_file_thin, previous_one} -> {repayment_clean_observed}","{credit_file_thin, previous_one} -> {repayment_clean_observed}"
"frozenset({'credit_file_thin', 'previous_outcome_mixed'})",frozenset({'previous_two_to_four'}),0.07279897825995425,0.3841686432471123,0.03482056392190987,0.47831116252168876,1.2450551884684151,1.0,0.006853479214007217,1.1804572237535949,0.21227624570128467,0.08248444066173732,0.152870616674936,0.28447495405972206,apriori,Portfolio-wide,356255,12405,"{credit_file_thin, previous_outcome_mixed} -> {previous_two_to_four}","{credit_file_thin, previous_outcome_mixed} -> {previous_two_to_four}"
"frozenset({'external_score_middle', 'credit_large'})",frozenset({'income_q4'}),0.11035915285399503,0.23744228151183844,0.043867454491866784,0.3974972021568827,1.6740792736068122,1.0,0.017663525452500488,1.2656500869672647,0.45260592951207274,0.1443321819760247,0.2098922045695995,0.29112358630128093,apriori,Portfolio-wide,356255,15628,"{credit_large, external_score_middle} -> {income_q4}","{credit_large, external_score_middle} -> {income_q4}"
"frozenset({'external_score_middle', 'income_q4'})",frozenset({'credit_large'}),0.08154552216810992,0.3220389889264712,0.043867454491866784,0.5379505008433445,1.6704514650124267,1.0,0.01760661698136752,1.4672908688592035,0.43699437475391434,0.12194988724239374,0.31847187137647426,0.33708416890713355,apriori,Portfolio-wide,356255,15628,"{external_score_middle, income_q4} -> {credit_large}","{external_score_middle, income_q4} -> {credit_large}"
"frozenset({'external_score_middle', 'credit_large'})",frozenset({'leverage_3_to_6x'}),0.11035915285399503,0.3596637240179085,0.05387713856647626,0.488198189032455,1.35737400363498,1.0,0.01418495467154681,1.251141090672493,0.2959434383312601,0.1294669958314784,0.20072963196940796,0.31899841708982346,apriori,Portfolio-wide,356255,19194,"{credit_large, external_score_middle} -> {leverage_3_to_6x}","{credit_large, external_score_middle} -> {leverage_3_to_6x}"
"frozenset({'external_score_middle', 'leverage_3_to_6x'})",frozenset({'credit_large'}),0.11985235294943229,0.3220389889264712,0.05387713856647626,0.4495292519555951,1.3958845587427702,1.0,0.015280008002182516,1.2316022485882205,0.32222818661842667,0.13885352161583425,0.18804954996932244,0.3084146503833481,apriori,Portfolio-wide,356255,19194,"{external_score_middle, leverage_3_to_6x} -> {credit_large}","{external_score_middle, leverage_3_to_6x} -> {credit_large}"
"frozenset({'external_score_middle', 'credit_large'})",frozenset({'leverage_over_6x'}),0.11035915285399503,0.16586995270241822,0.04472638980505537,0.4052802930104792,2.4433617204773617,1.0,0.02642112234088427,1.402559958068246,0.6640070685121888,0.1932002813007736,0.2870180028686218,0.3374638112991203,apriori,Portfolio-wide,356255,15934,"{credit_large, external_score_middle} -> {leverage_over_6x}","{credit_large, external_score_middle} -> {leverage_over_6x}"
"frozenset({'external_score_middle', 'leverage_over_6x'})",frozenset({'credit_large'}),0.055701674362465085,0.3220389889264712,0.04472638980505537,0.8029631122757509,2.4933723551687264,1.0,0.02678827891185557,3.4407821748703604,0.634266462038663,0.13430772602370236,0.7093684083510234,0.47092406363386596,apriori,Portfolio-wide,356255,15934,"{external_score_middle, leverage_over_6x} -> {credit_large}","{external_score_middle, leverage_over_6x} -> {credit_large}"
